Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
2000,12,3,-11.68790042,21.0327802536147,32.7206806736147,11.579563334313,0,11.579563334313,0,1.0954330579537,1.09484757025402
2000,12,3,-10.68790042,22.0388265487807,32.7267269687807,11.603071863243,0,11.603071863243,0,1.37819183562769,1.37745624366397
2000,12,3,-9.68790042,23.0305009719985,32.7184013919985,11.626580392173,0,11.626580392173,0,1.72821630540971,1.72729212244475
2000,12,3,-8.68790042,24.0404668686049,32.7283672886049,11.665761273723,0,11.665761273723,0,2.17336966973137,2.17221009999239
2000,12,3,-7.68790042,25.0086236831801,32.6965241031801,11.712778331583,0,11.712778331583,0,2.70521909414881,2.70376514226726
2000,12,3,-6.68790042,26.0408006546157,32.7287010746157,11.767630365726,0,11.767630365726,0,3.41500266708392,3.41318078216981
2000,12,3,-5.68790042,27.0429273483413,32.7308277683413,11.838155952516,0,11.838155952516,0,4.27571429617071,4.2734343431355
2000,12,3,-4.68790042,28.0607343551772,32.7486347751772,11.924352691899,0,11.924352691899,0,5.36585116946922,5.36300162692717
2000,12,3,-3.68790042,29.0563283798354,32.7442287998354,12.04189893663,0,12.04189893663,0,6.68248295962237,6.67893061590971
2000,12,3,-2.68790042,30.0662933227675,32.7541937427675,12.1751139339,0,12.1751139339,0,8.33981272197332,8.33538951843854
2000,12,3,-1.68790042,31.0279174682753,32.7158178882753,12.32398928352,0,12.32398928352,0,10.2811201566326,10.2756189412842
2000,12,3,-0.687900420000001,31.9124542114394,32.6003546314394,12.49638516234,0,12.49638516234,0,12.4297106431861,12.4228805668831
2000,12,3,0.312099579999999,32.7264371750014,32.4143375950014,12.75497898057,0,12.75497898057,0,14.6880441825743,14.6796199526672
2000,12,3,1.31209958,33.4332824585097,32.1211828785097,13.04491750404,0,13.04491750404,0,16.9000079488,16.8896381908073
2000,12,3,2.31209958,33.9023357269423,31.5902361469423,13.24082191179,0,13.24082191179,0,18.54892000767,18.5360584072295
2000,12,3,3.31209958,34.1923910019057,30.8802914219057,13.35836455644,0,13.35836455644,0,19.6555775203047,19.6395281991865
2000,12,3,4.31209958,34.3740020630019,30.0619024830019,13.46807102478,0,13.46807102478,0,20.3280073138014,20.307966998046
2000,12,3,5.31209958,34.4928975937026,29.1807980137026,13.55426896419,0,13.55426896419,0,20.7593456475659,20.7342768294896
2000,12,3,6.31209958,34.5843568679946,28.2722572879946,13.52292425895,0,13.52292425895,0,21.2503002767109,21.2186673523841
2000,12,3,7.31209958,34.5752111313003,27.2631115513002,13.4053816143,0,13.4053816143,0,21.3915341111083,21.3513614337923
2000,12,3,8.31209958,34.5059638855117,26.1938643055117,13.2486580881,0,13.2486580881,0,21.3022018857274,21.2510292171077
2000,12,3,9.31209958,34.46937998506,25.15728040506,13.13895161976,0,13.13895161976,0,21.2998862936227,21.2349258107469
3000,12,3,-30.85282379,4.49467578989032,35.3474995798903,11.50903894755,0,11.50903894755,0,0.0244584268033936,0.02445128712645
3000,12,3,-29.85282379,5.67057148080828,35.5233952708083,11.50903894755,0,11.50903894755,0,0.0320640286811531,0.0320550403604168
3000,12,3,-28.85282379,6.68110004526141,35.5339238352614,11.50903894755,0,11.50903894755,0,0.0404641987146144,0.0404528830892301
3000,12,3,-27.85282379,7.57478443246844,35.4276082224684,11.50903894755,0,11.50903894755,0,0.0497094987015528,0.0496952531732061
3000,12,3,-26.85282379,8.59650913339618,35.4493329233962,11.49336659493,0,11.49336659493,0,0.0629801446926923,0.0629621861801746
